COMM_NAME,COMM_CODE,COMM_WT,INDX042012,INDX052012,INDX062012,INDX072012,INDX082012,INDX092012,INDX102012,INDX112012,INDX122012,INDX012013,INDX022013,INDX032013,INDX042013,INDX052013,INDX062013,INDX072013,INDX082013,INDX092013,INDX102013,INDX112013,INDX122013,INDX012014,INDX022014,INDX032014,INDX042014,INDX052014,INDX062014,INDX072014,INDX082014,INDX092014,INDX102014,INDX112014,INDX122014,INDX012015,INDX022015,INDX032015,INDX042015,INDX052015,INDX062015,INDX072015,INDX082015,INDX092015,INDX102015,INDX112015,INDX122015,INDX012016,INDX022016,INDX032016,INDX042016,INDX052016,INDX062016,INDX072016,INDX082016,INDX092016,INDX102016,INDX112016,INDX122016,INDX012017,INDX022017,INDX032017,INDX042017,INDX052017,INDX062017,INDX072017,INDX082017,INDX092017,INDX102017,INDX112017,INDX122017,INDX012018,INDX022018,INDX032018,INDX042018,INDX052018,INDX062018,INDX072018,INDX082018,INDX092018,INDX102018,INDX112018,INDX122018,INDX012019,INDX022019,INDX032019,INDX042019,INDX052019,INDX062019,INDX072019,INDX082019,INDX092019,INDX102019,INDX112019,INDX122019,INDX012020,INDX022020,INDX032020,INDX042020,INDX052020,INDX062020,INDX072020,INDX082020,INDX092020,INDX102020,INDX112020,INDX122020,INDX012021,INDX022021,INDX032021,INDX042021,INDX052021,INDX062021,INDX072021,INDX082021,INDX092021,INDX102021,INDX112021,INDX122021,INDX012022,INDX022022,INDX032022,INDX042022,INDX052022,INDX062022,INDX072022,INDX082022,INDX092022,INDX102022,INDX112022,INDX122022,INDX012023,INDX022023,INDX032023,INDX042023,INDX052023,INDX062023,INDX072023,INDX082023,INDX092023,INDX102023,INDX112023,INDX122023,INDX012024,INDX022024,INDX032024,INDX042024,INDX052024,INDX062024,INDX072024,INDX082024,INDX092024,INDX102024,INDX112024,INDX122024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddy,1101010101,1.43052,104.2,104.2,107.0,111.0,114.0,116.1,116.6,116.3,115.9,116.7,117.9,118.7,120.4,121.9,124.9,129.4,132.0,131.3,131.0,131.3,130.6,131.1,132.3,132.6,133.7,136.0,137.2,139.6,140.5,140.5,140.0,138.0,134.6,133.5,134.1,132.0,132.6,134.2,133.6,133.4,133.9,135.2,135.8,135.6,135.4,135.8,135.3,135.2,136.3,139.1,142.2,144.2,144.6,144.7,145.1,145.0,144.2,143.8,146.4,147.7,147.6,148.0,148.4,149.1,148.5,148.8,149.6,149.2,148.8,150.4,151.4,152.6,153.3,154.2,153.9,155.0,155.6,155.7,155.7,155.5,155.7,155.8,156.5,156.6,157.0,157.6,158.4,159.9,160.8,161.9,162.7,162.1,162.0,162.3,162.3,159.3,162.7,163.1,165.6,165.8,165.4,165.0,163.7,163.1,162.2,162.0,161.7,161.5,162.0,162.2,161.7,161.2,161.8,162.3,162.8,162.8,162.6,162.9,161.7,163.1,164.4,165.1,165.5,166.2,168.8,171.7,173.6,173.3,173.7,174.6,175.6,175.4,176.2,177.2,178.2,181.2,184.3,187.0,190.2,191.4,192.0,191.2,193.6,196.0,197.4,197.7,199.4,201.1,202.0,203.4,204.4,205.9,205.3
Wheat,1101010102,1.02823,104.6,105.4,104.4,105.8,116.0,119.4,117.4,120.7,121.7,121.6,123.6,122.8,120.1,118.9,121.9,122.3,123.1,124.6,125.7,127.6,128.6,130.0,128.8,127.5,123.5,120.9,120.4,121.9,122.5,121.8,122.3,123.7,125.8,126.3,125.9,125.9,125.1,124.1,122.3,124.8,126.1,126.2,128.5,129.9,131.9,134.1,134.1,134.1,132.9,134.5,136.5,137.9,139.1,140.0,140.8,147.9,152.3,151.3,149.3,142.9,141.0,137.5,136.1,136.3,137.1,137.6,138.0,139.4,139.4,140.8,140.0,141.2,140.9,141.7,143.1,145.0,148.6,149.8,151.1,152.2,152.8,154.8,157.2,155.5,151.5,150.7,150.8,153.4,156.5,158.3,160.4,164.5,165.7,168.7,167.3,162.9,161.2,161.5,158.5,157.3,154.2,150.0,147.4,147.9,147.3,149.1,149.6,150.3,156.1,157.4,155.7,152.8,153.9,156.6,159.4,162.9,164.1,164.6,166.1,171.4,173.3,174.1,171.8,173.6,180.6,181.8,185.3,192.4,198.2,203.9,196.8,187.1,186.4,184.9,187.3,187.1,188.3,190.7,194.0,197.6,200.5,200.1,201.5,201.1,197.0,196.5,199.0,200.2,202.2,205.4,209.6,213.8,215.5
Jowar,1101010103,0.06764,98.3,98.2,97.0,93.7,96.2,97.2,95.5,95.6,95.0,95.2,97.9,101.9,101.7,99.5,97.7,99.5,94.5,98.0,98.4,99.5,100.8,100.8,103.0,111.3,115.7,112.8,113.9,120.7,116.1,115.0,117.0,115.3,110.3,119.2,119.6,114.4,111.3,117.4,115.7,110.7,108.4,108.4,114.4,113.4,119.2,115.4,116.1,115.8,115.5,118.7,120.9,120.1,121.4,124.0,121.9,123.2,127.8,132.3,136.0,132.1,131.6,130.5,126.9,126.3,124.5,126.1,123.3,118.5,121.3,118.3,115.9,118.1,118.0,117.0,119.3,119.6,121.9,121.4,125.8,137.7,142.3,143.0,146.6,150.4,150.9,151.1,151.2,157.6,163.6,160.0,159.6,165.0,173.2,177.1,165.6,158.2,159.1,164.7,161.3,157.5,154.3,148.0,147.8,155.2,154.6,151.9,148.7,149.0,150.5,148.8,144.7,142.6,140.3,138.4,136.8,135.4,136.4,142.7,148.9,153.9,161.9,162.7,161.7,167.0,171.7,172.9,166.1,183.6,192.8,204.0,208.8,208.3,208.0,209.2,219.6,224.4,222.9,229.0,224.6,233.4,242.4,236.7,230.9,227.1,225.8,221.1,219.6,212.8,207.0,207.6,198.8,203.5,201.4
Bajra,1101010104,0.08637,107.7,109.3,107.0,113.9,120.7,121.7,114.8,120.4,127.7,131.6,132.7,132.5,136.4,137.6,136.9,135.3,131.0,130.9,129.7,129.5,131.1,132.3,131.5,133.6,134.4,134.6,132.5,134.4,133.2,133.9,129.3,125.6,123.9,125.0,123.2,124.8,127.3,126.7,125.2,124.3,127.4,132.2,132.7,135.3,139.2,142.9,144.2,147.7,155.8,162.6,158.7,159.6,159.3,155.1,148.1,151.0,154.7,151.9,151.3,152.6,153.8,153.2,149.7,145.4,143.8,139.4,132.9,130.2,133.9,131.7,127.9,126.8,127.0,128.1,129.5,132.9,138.2,141.7,148.6,161.7,165.1,171.2,178.3,182.0,188.0,194.7,195.3,199.6,200.4,195.9,184.9,188.4,194.7,201.6,193.7,187.5,188.9,185.0,176.1,167.3,161.1,155.7,155.4,154.2,150.0,148.3,145.7,146.9,146.6,149.1,150.1,153.9,161.1,166.4,164.8,172.6,183.4,183.2,187.7,196.4,205.4,209.3,207.0,208.0,214.3,212.8,201.5,209.7,219.2,224.1,219.6,225.1,229.6,229.4,226.7,226.9,225.9,225.7,231.5,238.5,246.6,246.2,242.8,239.9,238.0,240.4,239.6,241.0,245.2,246.7,248.7,252.2,255.1
Maize,1101010105,0.18927,107.9,105.5,107.2,111.3,117.8,117.3,117.8,117.9,121.2,123.4,122.9,121.8,121.4,120.6,126.1,127.6,126.5,128.9,121.2,122.1,123.0,120.1,118.9,121.0,119.2,118.3,119.8,124.6,121.7,117.4,114.2,113.0,113.7,118.6,119.3,122.4,121.4,118.9,118.3,119.9,120.4,121.9,123.5,126.6,129.2,133.8,135.9,135.8,135.2,135.2,136.6,142.2,139.3,139.8,138.6,137.7,134.0,134.6,135.6,135.2,135.5,134.2,132.6,129.2,127.7,125.1,123.7,119.1,117.9,116.4,117.3,117.3,118.0,117.6,121.5,121.6,123.2,125.7,129.3,131.9,139.2,147.9,158.9,163.7,171.3,171.3,174.0,181.5,184.8,185.8,183.6,172.4,175.6,178.8,167.0,158.5,155.4,152.0,148.4,147.6,146.9,142.5,137.9,139.8,140.5,137.4,135.4,135.7,139.9,141.5,142.6,147.6,153.6,154.8,151.6,150.4,154.2,157.4,162.4,169.5,181.1,182.3,178.3,186.1,192.4,193.4,186.1,182.4,186.6,190.9,193.1,193.7,189.8,184.5,181.9,186.0,186.9,183.9,183.5,185.7,188.3,195.6,198.4,196.4,198.7,200.9,202.7,207.2,213.4,216.5,215.6,213.3,212.9
